symbol,name,last_sale,market_cap,ipo_year,sector,sub_industry,nasdaq_url
FTW,First Trust Taiwan AlphaDEX Fund,29.87,2990000.0,,,,http://www.nasdaq.com/symbol/ftw
TUSA,First Trust Total US Market AlphaDEX ETF,26.83,10730000.0,,,,http://www.nasdaq.com/symbol/tusa
FKU,First Trust United Kingdom AlphaDEX Fund,31.61,28450000.0,,,,http://www.nasdaq.com/symbol/fku
FUNC,First United Corporation,12.2,76480000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/func
FUSB,"First US Bancshares, Inc.",10.67,64480000.00000001,,Finance,Major Banks,http://www.nasdaq.com/symbol/fusb
SVVC,"Firsthand Technology Value Fund, Inc.",7.77,57740000.0,,,,http://www.nasdaq.com/symbol/svvc
FSV,FirstService Corporation,41.025,1420000000.0,,Finance,Real Estate,http://www.nasdaq.com/symbol/fsv
FISV,"Fiserv, Inc.",100.12,21730000000.0,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/fisv
FIVE,"Five Below, Inc.",41.23,2260000000.0,2012,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/five
FPRX,"Five Prime Therapeutics, Inc.",57.75,1640000000.0,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fprx
FVE,"Five Star Quality Care, Inc.",2.6,128729999.99999999,,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/fve
FIVN,"Five9, Inc.",14.39,762220000.0,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/fivn
FLML,Flamel Technologies S.A.,10.79,444990000.0,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/flml
FLEX,Flex Ltd.,13.925,7520000000.0,1994,Technology,Electrical Products,http://www.nasdaq.com/symbol/flex
